mode1r,mode1i,mode2r,mode2i,other_moder,other_modei,g_phase,time
-0.113828738,0.258405887,-0.113247643,0.261150907,,,-0.102207702,
-0.11451815,0.258866726,-0.113935528,0.261624464,,,-0.109911346,
-0.115195578,0.259313396,-0.114611501,0.262083648,,,-0.118047203,
-0.115860834,0.25974604,-0.115275373,0.262528597,,,-0.126658953,
-0.116513731,0.260164807,-0.115926954,0.262959457,,,-0.135702243,
-0.117154083,0.260569846,-0.116566058,0.263376373,,,-0.145051063,
-0.117781707,0.26096131,-0.117192502,0.263779495,,,-0.154526226,
-0.118396421,0.261339354,-0.117806102,0.264168973,,,-0.16393873,
-0.118998047,0.261704136,-0.11840668,0.264544962,,,-0.173136545,
-0.119586409,0.262055816,-0.118994057,0.264907619,,,-0.182042212,
-0.120161331,0.262394557,-0.119568058,0.265257102,,,-0.190670869,
-0.120722642,0.262720523,-0.120128509,0.265593572,,,-0.1991234,
-0.121270172,0.263033882,-0.120675239,0.265917193,,,-0.20755609,
-0.121803754,0.263334804,-0.121208079,0.266228131,,,-0.216134527,
-0.122323222,0.263623461,-0.121726864,0.266526555,,,-0.224983965,
-0.122828415,0.263900027,-0.122231428,0.266812634,,,-0.234149562,
-0.123319171,0.264164678,-0.12272161,0.267086542,,,-0.243577464,
-0.123795333,0.264417594,-0.12319725,0.267348455,,,-0.253122313,
-0.124256746,0.264658955,-0.123658192,0.267598548,,,-0.262579642,
-0.124703258,0.264888944,-0.124104282,0.267837002,,,-0.271734879,
-0.125134719,0.265107747,-0.124535367,0.268063998,,,-0.280415986,
-0.12555098,0.26531555,-0.124951299,0.26827972,,,-0.288535558,
-0.125951898,0.265512544,-0.12535193,0.268484354,,,-0.29611077,
-0.126337331,0.265698919,-0.125737117,0.268678086,,,-0.30325537,
-0.126707138,0.265874868,-0.126106717,0.268861107,,,-0.310145405,
-0.127061183,0.266040587,-0.126460593,0.269033609,,,-0.316967478,
-0.127399333,0.266196272,-0.126798607,0.269195784,,,-0.323863292,
-0.127721456,0.266342123,-0.127120627,0.269347829,,,-0.330885421,
-0.128027424,0.266478341,-0.127426522,0.269489939,,,-0.337976537,
-0.128317111,0.266605127,-0.127716163,0.269622315,,,-0.344978124,
-0.128590395,0.266722685,-0.127989427,0.269745157,,,-0.351666863,
-0.128847155,0.266831223,-0.128246189,0.269858668,,,-0.357809317,
-0.129087275,0.266930946,-0.128486331,0.269963051,,,-0.363220437,
-0.12931064,0.267022065,-0.128709735,0.270058512,,,-0.367810128,
-0.12951714,0.267104789,-0.128916289,0.270145259,,,-0.371605076,
-0.129706667,0.267179332,-0.129105882,0.270223501,,,-0.374739537,
-0.129879115,0.267245907,-0.129278404,0.270293448,,,-0.377417081,
-0.130034382,0.267304729,-0.129433752,0.270355311,,,-0.379853179,
-0.130172368,0.267356014,-0.129571822,0.270409305,,,-0.38221389,
-0.130292979,0.26739998,-0.129692517,0.270455643,,,-0.384567169,
-0.13039612,0.267436847,-0.129795739,0.270494543,,,-0.386860211,
-0.130481703,0.267466836,-0.129881396,0.270526221,,,-0.388929358,
-0.130549639,0.267490167,-0.129949397,0.270550896,,,-0.390540422,
-0.130599845,0.267507064,-0.129999656,0.270568788,,,-0.39144899,
-0.13063224,0.26751775,-0.130032088,0.270580118,,,-0.391464709,
-0.130646747,0.267522452,-0.130046613,0.270585108,,,-0.391464709,
-0.130643292,0.267521395,-0.130043153,0.270583982,,,-0.391488757,
-0.130621803,0.267514806,-0.130021632,0.270576963,,,-0.392465708,
-0.130582212,0.267502914,-0.129981981,0.270564279,,,-0.394254184,
-0.130524455,0.267485948,-0.129924129,0.270546153,,,-0.396629594,
-0.13044847,0.267464138,-0.129848013,0.270522815,,,-0.399342985,
-0.130354197,0.267437714,-0.129753569,0.270494492,,,-0.402185094,
-0.130241583,0.267406909,-0.129640739,0.270461414,,,-0.405038614,
-0.130110575,0.267371955,-0.129509467,0.270423809,,,-0.407905061,
-0.129961125,0.267333084,-0.129359701,0.27038191,,,-0.410899603,
-0.129793187,0.267290532,-0.129191391,0.270335946,,,-0.414215726,
-0.129606719,0.267244531,-0.129004492,0.27028615,,,-0.418069617,
-0.129401682,0.267195318,-0.128798959,0.270232755,,,-0.422639257,
-0.12917804,0.267143127,-0.128574755,0.270175994,,,-0.428014412,
-0.128935762,0.267088195,-0.128331841,0.2701161,,,-0.434170532,
-0.128674818,0.267030758,-0.128070186,0.270053308,,,-0.440973028,
-0.128395182,0.266971053,-0.127789759,0.269987852,,,-0.448210277,
-0.128096833,0.266909316,-0.127490533,0.269919968,,,-0.45564618,
-0.12777975,0.266845786,-0.127172486,0.26984989,,,-0.46307807,
-0.127443919,0.2667807,-0.126835597,0.269777855,,,-0.470384654,
-0.127089327,0.266714296,-0.126479849,0.269704098,,,-0.477551551,
-0.126715965,0.266646812,-0.12610523,0.269628856,,,-0.484668147,
-0.126323826,0.266578486,-0.125711728,0.269552365,,,-0.491897131,
-0.125912909,0.266509557,-0.125299336,0.269474861,,,-0.499425273,
-0.125483215,0.266440262,-0.124868052,0.269396581,,,-0.50740875,
-0.125034747,0.26637084,-0.124417874,0.269317763,,,-0.515927535,
-0.124567513,0.266301529,-0.123948806,0.269238641,,,-0.524960675,
-0.124081524,0.266232566,-0.123460853,0.269159454,,,-0.534388559,
-0.123576794,0.266164191,-0.122954026,0.269080436,,,-0.544021078,
-0.123053341,0.266096641,-0.122428337,0.269001826,,,-0.553643762,
-0.122511185,0.266030152,-0.121883802,0.268923858,,,-0.563069441,
-0.121950351,0.265964962,-0.12132044,0.268846769,,,-0.572181756,
-0.121370866,0.265901309,-0.120738274,0.268770795,,,-0.580959268,
-0.120772761,0.265839427,-0.12013733,0.26869617,,,-0.58947426,
-0.120156069,0.265779553,-0.119517637,0.26862313,,,-0.597867056,
-0.119520828,0.265721923,-0.118879228,0.268551909,,,-0.606303124,
-0.118867079,0.265666772,-0.118222137,0.268482741,,,-0.614924563,
-0.118194866,0.265614333,-0.117546405,0.26841586,,,-0.623808831,
-0.117504235,0.265564841,-0.116852072,0.268351499,,,-0.632945362,
-0.116795238,0.265518528,-0.116139185,0.26828989,,,-0.642235832,
-0.116067927,0.265475627,-0.115407793,0.268231265,,,-0.651517492,
-0.11532236,0.265436369,-0.114657946,0.268175855,,,-0.660602988,
-0.114558597,0.265400986,-0.1138897,0.268123891,,,-0.66932589,
-0.113776701,0.265369707,-0.113103114,0.268075602,,,-0.677579926,
-0.112976739,0.26534276,-0.112298248,0.268031218,,,-0.685341836,
-0.11215878,0.265320376,-0.111475167,0.267990965,,,-0.692672259,
-0.111322897,0.265302779,-0.11063394,0.267955071,,,-0.699694939,
-0.110469168,0.265290197,-0.109774636,0.267923763,,,-0.706560199,
-0.109597669,0.265282855,-0.10889733,0.267897264,,,-0.713402556,
-0.108708485,0.265280976,-0.108002099,0.267875801,,,-0.720303679,
-0.107801701,0.265284784,-0.107089024,0.267859594,,,-0.727270194,
-0.106877405,0.265294499,-0.106158188,0.267848868,,,-0.734231738,
-0.105935688,0.265310343,-0.105209676,0.267843841,,,-0.74105928,
-0.104976647,0.265332533,-0.10424358,0.267844734,,,-0.747598415,
-0.104000378,0.265361289,-0.10325999,0.267851765,,,-0.753708626,
-0.103006982,0.265396826,-0.102259004,0.267865152,,,-0.759298152,
-0.101996564,0.26543936,-0.101240718,0.267885109,,,-0.764345535,
-0.100969229,0.265489103,-0.100205236,0.267911851,,,-0.768902606,
-0.099925089,0.265546268,-0.099152661,0.267945592,,,-0.773078627,
-0.098864255,0.265611066,-0.098083102,0.267986542,,,-0.777010195,
-0.097786843,0.265683704,-0.096996667,0.268034912,,,-0.780825065,
-0.096692973,0.265764392,-0.095893472,0.26809091,,,-0.784609421,
-0.095582765,0.265853334,-0.094773631,0.268154744,,,-0.788386933,
-0.094456344,0.265950734,-0.093637265,0.268226617,,,-0.792114688,
-0.093313837,0.266056794,-0.092484494,0.268306735,,,-0.795696553,
-0.092155374,0.266171715,-0.091315444,0.268395299,,,-0.799010042,
-0.090981088,0.266295696,-0.090130243,0.26849251,,,-0.801939375,
-0.089791115,0.266428934,-0.08892902,0.268598565,,,-0.804406045,
-0.088585593,0.266571622,-0.087711909,0.268713662,,,-0.806389123,
-0.087364662,0.266723955,-0.086479046,0.268837995,,,-0.807930365,
-0.086128468,0.266886124,-0.085230569,0.268971758,,,-0.809123284,
-0.084877155,0.267058316,-0.083966619,0.269115141,,,-0.810089434,
-0.083610873,0.26724072,-0.08268734,0.269268334,,,-0.810948366,
